iter	Passed	Remaining
674	4594	2212
675	4600	2205
676	4606	2197
677	4612	2190
678	4618	2183
679	4624	2176
680	4629	2168
681	4635	2161
682	4641	2154
683	4646	2146
684	4652	2139
685	4658	2132
686	4664	2125
687	4670	2117
688	4676	2110
689	4681	2103
690	4687	2096
691	4693	2089
692	4699	2081
693	4704	2074
694	4710	2067
695	4716	2060
696	4721	2052
697	4727	2045
698	4733	2038
699	4739	2031
700	4745	2023
701	4753	2017
702	4759	2010
703	4765	2003
704	4770	1996
705	4776	1989
706	4782	1981
707	4787	1974
708	4793	1967
709	4799	1960
710	4805	1953
711	4810	1945
712	4816	1938
713	4822	1931
714	4828	1924
715	4834	1917
716	4840	1910
717	4846	1903
718	4851	1896
719	4857	1889
720	4863	1881
721	4868	1874
722	4874	1867
723	4880	1860
724	4886	1853
725	4893	1846
726	4898	1839
727	4904	1832
728	4909	1825
729	4915	1818
730	4921	1810
731	4927	1804
732	4933	1796
733	4939	1789
734	4944	1782
735	4951	1775
736	4956	1768
737	4962	1761
738	4968	1754
739	4974	1747
740	4980	1740
741	4986	1733
742	4991	1726
743	4997	1719
744	5003	1712
745	5008	1705
746	5014	1698
747	5020	1691
748	5026	1684
749	5032	1677
750	5038	1670
751	5044	1663
752	5050	1656
753	5056	1649
754	5062	1642
755	5068	1635
756	5073	1628
757	5079	1621
758	5085	1614
759	5091	1607
760	5097	1600
761	5102	1593
762	5108	1586
763	5114	1579
764	5120	1572
765	5125	1565
766	5131	1558
767	5140	1552
768	5145	1545
769	5151	1538
770	5157	1531
771	5163	1524
772	5170	1518
773	5175	1511
774	5181	1504
775	5188	1497
776	5193	1490
777	5199	1483
778	5205	1476
779	5211	1469
780	5217	1463
781	5223	1456
782	5229	1449
783	5235	1442
784	5241	1435
785	5246	1428
786	5252	1421
787	5258	1414
788	5264	1407
789	5269	1400
790	5275	1393
791	5281	1387
792	5288	1380
793	5293	1373
794	5299	1366
795	5305	1359
796	5310	1352
797	5316	1345
798	5322	1338
799	5328	1332
800	5334	1325
801	5339	1318
802	5345	1311
803	5351	1304
804	5357	1297
805	5363	1290
806	5369	1284
807	5375	1277
808	5381	1270
809	5386	1263
810	5392	1256
811	5398	1249
812	5404	1243
813	5411	1236
814	5417	1229
815	5423	1222
816	5429	1216
817	5434	1209
818	5440	1202
819	5446	1195
820	5451	1188
821	5457	1181
822	5464	1175
823	5470	1168
824	5475	1161
825	5481	1154
826	5487	1147
827	5493	1141
828	5498	1134
829	5504	1127
830	5510	1120
831	5516	1113
832	5521	1106
833	5527	1100
834	5533	1093
835	5539	1086
836	5547	1080
837	5553	1073
838	5558	1066
839	5564	1059
840	5570	1053
841	5576	1046
842	5581	1039
843	5587	1032
844	5593	1026
845	5598	1019
846	5604	1012
847	5610	1005
848	5616	998
849	5621	992
850	5628	985
851	5634	978
852	5640	972
853	5646	965
854	5651	958
855	5657	951
856	5663	944
857	5669	938
858	5675	931
859	5681	924
860	5688	918
861	5694	911
862	5700	904
863	5706	898
864	5712	891
865	5718	884
866	5723	878
867	5729	871
868	5735	864
869	5741	857
870	5746	851
871	5752	844
872	5758	837
873	5763	830
874	5769	824
875	5776	817
876	5781	810
877	5787	804
878	5793	797
879	5798	790
880	5804	784
881	5810	777
882	5816	770
883	5821	763
884	5827	757
885	5833	750
886	5838	743
887	5844	737
888	5850	730
889	5855	723
890	5861	717
891	5866	710
892	5872	703
893	5878	696
894	5885	690
895	5891	683
896	5899	677
897	5906	670
898	5913	664
899	5920	657
900	5927	651
901	5933	644
902	5942	638
903	5947	631
904	5953	624
905	5959	618
906	5965	611
907	5971	605
908	5976	598
909	5982	591
910	5988	585
911	5994	578
912	5999	571
913	6005	565
914	6010	558
915	6016	551
916	6022	545
917	6028	538
918	6033	531
919	6039	525
920	6045	518
921	6051	511
922	6057	505
923	6063	498
924	6068	492
925	6074	485
926	6080	478
927	6085	472
928	6092	465
929	6098	459
930	6104	452
931	6110	445
932	6115	439
933	6121	432
934	6127	425
935	6133	419
936	6138	412
937	6144	406
938	6150	399
939	6156	392
940	6162	386
941	6168	379
942	6174	373
943	6180	366
944	6185	360
945	6191	353
946	6197	346
947	6203	340
948	6209	333
949	6215	327
950	6221	320
951	6226	313
952	6232	307
953	6238	300
954	6244	294
955	6249	287
956	6255	281
957	6261	274
958	6267	267
959	6272	261
960	6278	254
961	6283	248
962	6289	241
963	6295	235
964	6301	228
965	6307	222
966	6313	215
967	6318	208
968	6324	202
969	6330	195
970	6338	189
971	6344	182
972	6350	176
973	6356	169
974	6362	163
975	6368	156
976	6375	150
977	6381	143
978	6387	137
979	6393	130
980	6399	123
981	6404	117
982	6410	110
983	6416	104
984	6422	97
985	6428	91
986	6433	84
987	6439	78
